university,sex,age,address,motherEducation,fatherEducation,motherJob,fatherJob,reason,travelTime,studyTime,failures,universitySupport,paid,higher,internet,romantic,freeTime,goOut,Dalc,Walc,absences,finalGrade,grade_label
1,0,18,1,4,4,0,4,0,2,2,0,1,0,1,0,0,3,4,1,1,6,6,3
1,0,17,1,1,1,0,2,0,1,2,0,0,0,1,1,0,3,3,1,1,4,6,3
1,0,15,1,1,1,0,2,2,1,2,3,1,1,1,1,0,3,2,2,3,10,10,2
1,0,15,1,4,2,1,3,1,1,3,0,0,1,1,1,1,2,2,1,1,2,15,1
1,0,16,1,3,3,2,2,1,1,2,0,0,1,1,0,0,3,2,1,2,4,10,2
1,1,16,1,4,3,3,2,3,1,2,0,0,1,1,1,0,4,2,1,2,10,15,1
1,1,16,1,2,2,2,2,1,1,2,0,0,0,1,1,0,4,4,1,1,0,11,2
1,0,17,1,4,4,2,4,1,2,2,0,1,0,1,0,0,1,4,1,1,6,6,3
1,1,15,1,3,2,3,2,1,1,2,0,0,1,1,1,0,2,2,1,1,0,19,0
1,1,15,1,3,4,2,2,1,1,2,0,0,1,1,1,0,5,1,1,1,0,15,1
1,0,15,1,4,4,4,1,3,1,2,0,0,1,1,1,0,3,3,1,2,0,9,3
1,0,15,1,2,1,3,2,3,3,3,0,0,0,1,1,0,2,2,1,1,4,12,2
1,1,15,1,4,4,1,3,0,1,1,0,0,1,1,1,0,3,3,1,3,2,14,1
1,1,15,1,4,3,4,2,0,2,2,0,0,1,1,1,0,4,3,1,2,2,11,2
1,1,15,1,2,2,2,2,1,1,3,0,0,0,1,1,1,5,2,1,1,0,16,1
1,0,16,1,4,4,1,2,1,1,1,0,0,0,1,1,0,4,4,1,2,4,14,1
1,0,16,1,4,4,3,3,3,1,3,0,0,1,1,1,0,2,3,1,2,6,14,1
1,0,16,1,3,3,2,2,3,3,2,0,1,0,1,0,0,3,2,1,1,4,10,2
1,1,17,1,3,2,3,3,0,1,1,3,0,0,1,1,0,5,5,2,4,16,5,3
